name,dates,base,base_primary,country,region,type,anno,anno_refit,service,length_ft,cabins,berths,wc,price_eur,original_price_eur,discount,deposit_eur,yacht_id
x-reuse (Black Pearl),13.06.2026 - 20.06.2026,"Piraeus / Mikrolimano port, Grecia","Piraeus / Mikrolimano port, Grecia",Greece,Athens / Saronic Gulf,Barca a vela,2023,,Bareboat,47.0,3,6,2,7800.0,,,3500.0,3856481621607065
Lagoon 39 (Lion Royal),13.06.2026 - 19.06.2026,"Porto Cheli, Grecia","Porto Cheli, Grecia",Greece,Athens / Saronic Gulf,Catamarano,2016,,Con equipaggio,39.0,3,6 (+2),3,8700.0,,,1500.0,7637757070000108076
Cyclades 50.5 (ZORBA),13.06.2026 - 20.06.2026,"Aegina / Port of Aegina, Grecia","Aegina / Port of Aegina, Grecia",Greece,Athens / Saronic Gulf,Barca a vela,2007,2024,Con equipaggio,51.0,6,9,3,9800.0,,,0.0,6340874410000107473
Gulet (Taxiarchis),13.06.2026 - 19.06.2026,"Porto Cheli, Grecia","Porto Cheli, Grecia",Greece,Athens / Saronic Gulf,Caicco,1951,2025,Con equipaggio,52.0,3,6,1,10080.0,,,0.0,7547407000000108076
Ferretti 52 (BLUE DREAM),13.06.2026 - 20.06.2026,"Piraeus / Mikrolimano port, Grecia","Piraeus / Mikrolimano port, Grecia",Greece,Athens / Saronic Gulf,Yacht a motore,2000,2022,Bareboat,52.0,4,8 Daily up to 12 guests,2,12600.0,14000.0,"- 10,00 %",0.0,7679580720000102520
Posillipo Tobago 47 (PHEONIX),13.06.2026 - 20.06.2026,"Piraeus / Mikrolimano port, Grecia","Piraeus / Mikrolimano port, Grecia",Greece,Athens / Saronic Gulf,Yacht a motore,1997,2023,Con equipaggio,49.0,2,6 4 people for multiple days and 20 people for daily cruises,2,12600.0,14000.0,"- 10,00 %",0.0,7678789020000102520
Tesoro T41 (),13.06.2026 - 19.06.2026,"Glyfada - Athens / 3rd Marina Glyfada, Grecia",Glyfada,Greece,Athens / Saronic Gulf,Catamarano a motore,,,Con equipaggio,41.0,2,4,1,14378.0,,,0.0,5623042590000105042
Azimut 58 (Linda II),13.06.2026 - 20.06.2026,"Glyfada - Athens / 2nd Marina Glyfada, Grecia",Glyfada,Greece,Athens / Saronic Gulf,Yacht a motore,2000,,Con equipaggio,58.0,3,6,2,15680.0,,,0.0,6128415810000103405
Nimbus Tender T11 (Aktaia),13.06.2026 - 19.06.2026,"Glyfada - Athens / 2nd Marina Glyfada, Grecia",Glyfada,Greece,Athens / Saronic Gulf,Barca a motore,2025,,Con equipaggio,41.0,1,2,1,15750.0,,,0.0,7479352140000101254
Pardo 38 (),13.06.2026 - 20.06.2026,"Porto Cheli, Grecia","Porto Cheli, Grecia",Greece,Athens / Saronic Gulf,Barca a motore,2024,,Bareboat,39.0,1,2,1,16464.0,,,0.0,7693996320000105042
Pardo 38 (),13.06.2026 - 20.06.2026,"Glyfada - Athens / 1st Marina Glyfada, Grecia",Glyfada,Greece,Athens / Saronic Gulf,Barca a motore,2024,,Bareboat,39.0,1,2,1,16464.0,,,0.0,7693992390000105042
Saxdor 400 GTO (Paradox),13.06.2026 - 20.06.2026,"Salamina / Salamis Yachting Club, Grecia","Salamina / Salamis Yachting Club, Grecia",Greece,Athens / Saronic Gulf,Barca a motore,2025,,Bareboat,39.0,2,4,1,18830.0,,,0.0,9225380999003280
Gulet (Artemis),13.06.2026 - 20.06.2026,"Salamina / Salamis Yachting Club, Grecia","Salamina / Salamis Yachting Club, Grecia",Greece,Athens / Saronic Gulf,Caicco,1998,2020,Con equipaggio,108.0,16,46,16,19530.0,,,3000.0,2002554050000103034
Eleuthera 60 (ZORBA CAT),13.06.2026 - 20.06.2026,"Aegina / Port of Aegina, Grecia","Aegina / Port of Aegina, Grecia",Greece,Athens / Saronic Gulf,Catamarano,2007,2024,Con equipaggio,60.0,4,10,5,20500.0,,,0.0,6345176310000107473
Pardo 43 (),13.06.2026 - 20.06.2026,"Glyfada - Athens / 1st Marina Glyfada, Grecia",Glyfada,Greece,Athens / Saronic Gulf,Barca a motore,2024,,Bareboat,46.0,1,2 /8,1,20776.0,,,0.0,7693993530000105042
Pardo 43 (),13.06.2026 - 20.06.2026,"Porto Cheli, Grecia","Porto Cheli, Grecia",Greece,Athens / Saronic Gulf,Barca a motore,2024,,Bareboat,46.0,1,2 /8,1,20776.0,,,0.0,7693996470000105042
Motoryacht (Ange),13.06.2026 - 19.06.2026,"Salamina / Salamis Yachting Club, Grecia","Salamina / Salamis Yachting Club, Grecia",Greece,Athens / Saronic Gulf,Yacht a motore,1984,2025,Con equipaggio,79.0,4,8,4,27780.0,,,0.0,7589622690000108076
Pershing 62 (),13.06.2026 - 20.06.2026,"Porto Cheli, Grecia","Porto Cheli, Grecia",Greece,Athens / Saronic Gulf,Yacht a motore,2008,,Bareboat,66.0,2,4,2,27830.0,,,0.0,7694042200000105042
